Time,Type,Value
79603206,BtnUp,Left
79769637,BtnDown,Left
79986807,BtnUp,Left
80187524,BtnDown,Left
80402874,BtnUp,Left
80686290,BtnDown,Down
80885886,BtnUp,Down
81119242,BtnDown,Left
81385559,BtnUp,Left
81502647,BtnDown,Down
81718223,BtnUp,Down
81851051,BtnDown,Right
82051835,BtnUp,Right
82186256,BtnDown,Down
82453454,BtnUp,Down
82620907,BtnDown,Left
82853857,BtnUp,Left
83020891,BtnDown,Down
83287168,BtnUp,Down
83452564,BtnDown,Left
83686645,BtnUp,Left
83853694,BtnDown,Down
84087109,BtnUp,Down
84203508,BtnDown,Left
84419494,BtnUp,Left
84602473,BtnDown,Left
84819850,BtnUp,Left
84970310,BtnDown,Down
85103001,BtnUp,Down
85286730,BtnDown,Down
85471276,BtnUp,Down
85653917,BtnDown,Left
85837699,BtnUp,Left
86020809,BtnDown,Down
86253846,BtnUp,Down
86369109,BtnDown,Left
86585946,BtnUp,Left
86837343,BtnDown,Left
87019974,BtnUp,Left
87270694,BtnDown,Down
87486129,BtnUp,Down
87702999,BtnDown,Down
88003677,BtnUp,Down
88102331,BtnDown,Left
88370069,BtnUp,Left
88537717,BtnDown,Left
88836857,BtnUp,Left
88988078,BtnDown,Down
89287512,BtnUp,Down
89405193,BtnDown,Left
89712760,BtnUp,Left
89769475,BtnDown,Down
90053433,BtnUp,Down
90152759,BtnDown,Right
90337379,BtnUp,Right
90485967,BtnDown,Down
90802451,BtnUp,Down
90902733,BtnDown,Left
91102623,BtnUp,Left
91286266,BtnDown,Down
91686738,BtnUp,Down
92553581,BtnDown,Left
92886038,BtnUp,Left
93051825,BtnDown,Down
93484809,BtnUp,Down
93535707,BtnDown,Left
93902722,BtnUp,Left
93969712,BtnDown,Down
94235774,BtnUp,Down
94285724,BtnDown,Left
94603394,BtnUp,Left
94668180,BtnDown,Down
95018197,BtnUp,Down
95067869,BtnDown,Right
95302861,BtnUp,Right
95438069,BtnDown,Down
95786316,BtnUp,Down
95802370,BtnDown,Left
96152933,BtnUp,Left
96202980,BtnDown,Down
96586351,BtnUp,Down
96703051,BtnDown,Left
96886882,BtnUp,Left
96936549,BtnDown,Down
97202128,BtnUp,Down
97269323,BtnDown,Right
97503403,BtnUp,Right
97620746,BtnDown,Down
98003333,BtnUp,Down
98052189,BtnDown,Left
98353101,BtnUp,Left
98419769,BtnDown,Down
98803521,BtnUp,Down
98969894,BtnDown,Right
99204237,BtnUp,Right
99319694,BtnDown,Down
99653571,BtnUp,Down
99720540,BtnDown,Left
99937262,BtnDown,Down
99937262,BtnUp,Left
100103091,BtnDown,Right
100187412,BtnUp,Down
100303839,BtnDown,Down
100336612,BtnUp,Right
100404400,BtnDown,Left
100502889,BtnUp,Down
100600809,BtnDown,Down
100668940,BtnUp,Left
100783808,BtnDown,Right
100818839,BtnUp,Down
100936291,BtnDown,Up
101053204,BtnUp,Right
101102022,BtnDown,Left
101152339,BtnUp,Up
101285794,BtnDown,Down
101402360,BtnUp,Left
101518081,BtnDown,Right
101602121,BtnUp,Down
101717887,BtnDown,Up
101834098,BtnUp,Right
101885459,BtnDown,Left
101967647,BtnUp,Up
102085269,BtnDown,Down
102218111,BtnUp,Left
102301562,BtnDown,Right
102384846,BtnUp,Down
102519210,BtnDown,Up
102668841,BtnDown,Left
102668841,BtnUp,Right
102752843,BtnUp,Up
102885152,BtnDown,Down
103003346,BtnUp,Left
103102820,BtnDown,Right
103202256,BtnUp,Down
103301745,BtnDown,Up
103468680,BtnDown,Left
103468680,BtnUp,Right
103537465,BtnUp,Up
103669677,BtnDown,Down
103786521,BtnUp,Left
103902486,BtnDown,Right
103969491,BtnUp,Down
104086043,BtnDown,Up
104236734,BtnDown,Left
104236734,BtnUp,Right
104304175,BtnUp,Up
104437559,BtnDown,Down
104553114,BtnUp,Left
104652967,BtnDown,Right
104719680,BtnUp,Down
104836409,BtnDown,Up
104936463,BtnUp,Right
104970477,BtnDown,Left
105036328,BtnUp,Up
105153573,BtnDown,Down
105236304,BtnUp,Left
105320419,BtnDown,Right
105386680,BtnUp,Down
105486146,BtnDown,Up
105537672,BtnUp,Right
105586934,BtnDown,Left
105653968,BtnUp,Up
105786539,BtnDown,Down
105853739,BtnUp,Left
105919279,BtnDown,Right
105986817,BtnUp,Down
106186319,BtnDown,Left
106186319,BtnUp,Right
106271188,BtnDown,Up
106402663,BtnUp,Up
106536227,BtnDown,Down
106587067,BtnUp,Left
106753677,BtnDown,Right
106787482,BtnUp,Down
106886686,BtnDown,Down
106953735,BtnUp,Right
106988012,BtnDown,Left
107019837,BtnUp,Down
107120401,BtnDown,Up
107236428,BtnUp,Left
107303657,BtnUp,Up
107337469,BtnDown,Right
107484711,BtnDown,Down
107552413,BtnUp,Right
107686649,BtnDown,Left
107719753,BtnUp,Down
107836635,BtnDown,Up
107902500,BtnUp,Left
108036321,BtnUp,Up
108036321,BtnDown,Right
108168138,BtnDown,Down
108184872,BtnUp,Right
108268710,BtnDown,Left
108369509,BtnUp,Down
108485549,BtnDown,Up
108535707,BtnUp,Left
108602325,BtnDown,Right
108636862,BtnUp,Up
108769319,BtnDown,Down
108785416,BtnUp,Right
108901803,BtnDown,Left
109002559,BtnUp,Down
109119631,BtnDown,Up
109135465,BtnUp,Left
109258661,BtnDown,Right
109309849,BtnUp,Up
109445794,BtnDown,Down
109445794,BtnUp,Right
109576136,BtnDown,Left
109674681,BtnUp,Down
109775728,BtnDown,Up
109826362,BtnUp,Left
109925825,BtnDown,Right
109959061,BtnUp,Up
110124914,BtnDown,Down
110141390,BtnUp,Right
110274896,BtnDown,Left
110375340,BtnUp,Down
110475123,BtnDown,Up
110491498,BtnUp,Left
110592059,BtnDown,Right
110607673,BtnUp,Up
110780035,BtnDown,Down
110797170,BtnUp,Right
110914314,BtnDown,Left
111030635,BtnUp,Down
111147758,BtnDown,Up
111181521,BtnUp,Left
111314800,BtnDown,Right
111365574,BtnUp,Up
111547930,BtnDown,Down
111547930,BtnUp,Right
111683522,BtnDown,Left
111733330,BtnUp,Down
111850707,BtnDown,Up
111901518,BtnUp,Left
112001532,BtnDown,Right
112017100,BtnUp,Up
112167073,BtnDown,Down
112217838,BtnUp,Right
112299733,BtnDown,Left
112384230,BtnUp,Down
112484528,BtnDown,Up
112534255,BtnUp,Left
112634494,BtnDown,Right
112667582,BtnUp,Up
112819219,BtnDown,Down
112819219,BtnUp,Right
112934358,BtnDown,Left
113035809,BtnUp,Down
113117283,BtnDown,Up
113167165,BtnUp,Left
113267237,BtnUp,Up
113267237,BtnDown,Right
113400611,BtnDown,Down
113416740,BtnUp,Right
113484645,BtnDown,Left
113568217,BtnUp,Down
113634703,BtnDown,Up
113667850,BtnUp,Left
113751243,BtnDown,Right
113767624,BtnUp,Up
113886136,BtnDown,Down
113901316,BtnUp,Right
113951061,BtnDown,Left
114018580,BtnUp,Down
114101725,BtnDown,Up
114151781,BtnUp,Left
114201795,BtnDown,Right
114217410,BtnUp,Up
114335626,BtnDown,Down
114351347,BtnUp,Right
114418211,BtnDown,Left
114468409,BtnUp,Down
114568418,BtnDown,Up
114603583,BtnUp,Left
114652659,BtnDown,Right
114667907,BtnUp,Up
114802630,BtnDown,Down
114852323,BtnUp,Right
114885083,BtnDown,Left
114953074,BtnUp,Down
115052551,BtnDown,Up
115084987,BtnUp,Left
115168508,BtnUp,Up
115168508,BtnDown,Right
115301775,BtnDown,Down
115301775,BtnUp,Right
115385503,BtnDown,Left
115468742,BtnUp,Down
115553724,BtnDown,Up
115585041,BtnUp,Left
115668975,BtnDown,Right
115685214,BtnUp,Up
115801743,BtnDown,Down
115801743,BtnUp,Right
115886412,BtnDown,Left
115935022,BtnUp,Down
116068689,BtnDown,Up
116068689,BtnUp,Left
116169708,BtnDown,Right
116185471,BtnUp,Up
116302283,BtnDown,Down
116302283,BtnUp,Right
116385420,BtnDown,Left
116469406,BtnUp,Down
116536628,BtnDown,Up
116551312,BtnUp,Left
116636032,BtnDown,Right
116651513,BtnUp,Up
116752718,BtnDown,Down
116768903,BtnUp,Right
116852321,BtnDown,Left
116901615,BtnUp,Down
116985513,BtnDown,Up
117019877,BtnUp,Left
117086802,BtnUp,Up
117086802,BtnDown,Right
117202074,BtnDown,Down
117202074,BtnUp,Right
117236219,BtnDown,Left
117303409,BtnUp,Down
117418907,BtnDown,Up
117452579,BtnUp,Left
117504013,BtnDown,Right
117518893,BtnUp,Up
117635463,BtnDown,Down
117652027,BtnUp,Right
117719348,BtnDown,Left
117768887,BtnUp,Down
117853911,BtnDown,Up
117886708,BtnUp,Left
117952745,BtnUp,Up
117952745,BtnDown,Right
118052739,BtnDown,Down
118085739,BtnUp,Right
118154091,BtnDown,Left
118202970,BtnUp,Down
118285626,BtnUp,Left
